YEAR	GRID_NAME	SATELLITE	BLACK LIST	USETILEMASK	SATELLITE_COMMENT
2015	SI-19-V-A	L8		true	
2016	SI-19-V-A	L8		true	
2017	SI-19-V-A	L8		true	
2018	SI-19-V-A	L8		true	
2019	SI-19-V-A	L8		true	
2020	SI-19-V-A	L8		true	
2021	SI-19-V-A	L8		true	
2022	SI-19-V-A	L8		true	
2023	SI-19-V-A	L9		true	
2024	SI-19-V-A	L9		true	
2025	SI-19-V-A	L9		true	
1996	SI-19-V-B	L5		true	
1997	SI-19-V-B	L5		true	
1998	SI-19-V-B	L5		true	
1999	SI-19-V-B	L5		true	
2000	SI-19-V-B	L7		true	
2001	SI-19-V-B	L7		true	
2002	SI-19-V-B	L7		true	
2003	SI-19-V-B	L7		true	
2004	SI-19-V-B	L7		true	
2005	SI-19-V-B	L7		true	
2006	SI-19-V-B	L7		true	
2007	SI-19-V-B	L7		true	
2008	SI-19-V-B	L7		true	
2009	SI-19-V-B	L7		true	
2010	SI-19-V-B	L7		true	
2011	SI-19-V-B	L7		true	
2012	SI-19-V-B	L7		true	
2013	SI-19-V-B	L8		true	
2014	SI-19-V-B	L8		true	
2015	SI-19-V-B	L8		true	
2016	SI-19-V-B	L8		true	
2017	SI-19-V-B	L8		true	
2018	SI-19-V-B	L8		true	
2019	SI-19-V-B	L8		true	
2020	SI-19-V-B	L8		true	
2021	SI-19-V-B	L8		true	
2022	SI-19-V-B	L8		true	
2023	SI-19-V-B	L9		true	
2024	SI-19-V-B	L9		true	
1996	SI-19-V-C	L5		true	
1997	SI-19-V-C	L5		true	
1998	SI-19-V-C	L5		true	
1999	SI-19-V-C	L5		true	
2000	SI-19-V-C	L7		true	
2001	SI-19-V-C	L7		true	
2002	SI-19-V-C	L7		true	
2003	SI-19-V-C	L7		true	
2004	SI-19-V-C	L7		true	
2005	SI-19-V-C	L7		true	
2006	SI-19-V-C	L7		true	
2007	SI-19-V-C	L7		true	
2008	SI-19-V-C	L7		true	
2009	SI-19-V-C	L7		true	
2010	SI-19-V-C	L7		true	
2011	SI-19-V-C	L7		true	
2012	SI-19-V-C	L7		true	
2013	SI-19-V-C	L8		true	
2014	SI-19-V-C	L8		true	
